command_name,spec_path,module_path,status,tier
analyze-issue,.claude/commands/git/analyze-issue.md,,SPEC_ONLY,engineering
antibridge,.claude/commands/antibridge.md,,SPEC_ONLY,misc
approve,.claude/commands/approve.md,,SPEC_ONLY,misc
audit,.claude/commands/raas/audit.md,,SPEC_ONLY,ops
audit-compliance,.claude/commands/audit-compliance.md,,SPEC_ONLY,ops
audit-execute,.claude/commands/audit-execute.md,,SPEC_ONLY,ops
audit-itgc,.claude/commands/audit-itgc.md,,SPEC_ONLY,ops
audit-plan,.claude/commands/audit-plan.md,,SPEC_ONLY,product
audit-report,.claude/commands/audit-report.md,,SPEC_ONLY,ops
audit-sox,.claude/commands/audit-sox.md,,SPEC_ONLY,ops
audit-trail,.claude/commands/audit-trail.md,,SPEC_ONLY,ops
backend-api-build,.claude/commands/backend-api-build.md,,SPEC_ONLY,engineering
backend-db-task,.claude/commands/backend-db-task.md,,SPEC_ONLY,engineering
backlog,.claude/commands/raas/backlog.md,,SPEC_ONLY,product
board-compliance,.claude/commands/board-compliance.md,,SPEC_ONLY,founder
board-manage,.claude/commands/board-manage.md,,SPEC_ONLY,founder
board-minutes,.claude/commands/board-minutes.md,,SPEC_ONLY,founder
board-report,.claude/commands/board-report.md,,SPEC_ONLY,founder
brain-evolution-log,.claude/commands/brain-evolution-log.md,,SPEC_ONLY,misc
bridge,.claude/commands/bridge.md,,SPEC_ONLY,misc
business-campaign-launch,.claude/commands/business-campaign-launch.md,,SPEC_ONLY,business
business-client-onboard,.claude/commands/business-client-onboard.md,,SPEC_ONLY,founder
business-financial-close,.claude/commands/business-financial-close.md,,SPEC_ONLY,business
business-hiring-sprint,.claude/commands/business-hiring-sprint.md,,SPEC_ONLY,business
business-quarterly-review,.claude/commands/business-quarterly-review.md,,SPEC_ONLY,business
business-report,.claude/commands/business-report.md,,SPEC_ONLY,business
business-revenue-engine,.claude/commands/business-revenue-engine.md,,SPEC_ONLY,business
cdp-identity,.claude/commands/cdp-identity.md,,SPEC_ONLY,misc
cdp-journey,.claude/commands/cdp-journey.md,,SPEC_ONLY,misc
cdp-profile,.claude/commands/cdp-profile.md,,SPEC_ONLY,misc
cdp-segment,.claude/commands/cdp-segment.md,,SPEC_ONLY,misc
check,.claude/commands/code/check.md,,SPEC_ONLY,engineering
ci-status,.claude/commands/ci/ci-status.md,,SPEC_ONLY,engineering
ck-binh-phap,.claude/commands/ck-binh-phap.md,,SPEC_ONLY,misc
ck-marketing,.claude/commands/ck-marketing.md,,SPEC_ONLY,business
ck-marketing-ads,.claude/commands/ck-marketing-ads.md,,SPEC_ONLY,business
ck-marketing-copy,.claude/commands/ck-marketing-copy.md,,SPEC_ONLY,business
ck-marketing-cro,.claude/commands/ck-marketing-cro.md,,SPEC_ONLY,business
ck-marketing-growth,.claude/commands/ck-marketing-growth.md,,SPEC_ONLY,business
ck-marketing-local,.claude/commands/ck-marketing-local.md,,SPEC_ONLY,business
ck-marketing-seo,.claude/commands/ck-marketing-seo.md,,SPEC_ONLY,business
ck-remember,.claude/commands/ck-remember.md,,SPEC_ONLY,misc
ck-save,.claude/commands/ck-save.md,,SPEC_ONLY,misc
ck-techdebt,.claude/commands/ck-techdebt.md,,SPEC_ONLY,misc
cloudflare,.claude/commands/cloudflare.md,,SPEC_ONLY,misc
code,.claude/commands/code.md,,SPEC_ONLY,engineering
code,.claude/commands/sdlc/code.md,,SPEC_ONLY,engineering
code-analysis,.claude/commands/code/code-analysis.md,,SPEC_ONLY,engineering
commands-status,.claude/commands/commands-status.md,,SPEC_ONLY,ops
commit,.claude/commands/git/commit.md,,SPEC_ONLY,engineering
commit-fast,.claude/commands/git/commit-fast.md,,SPEC_ONLY,engineering
compliance-check,.claude/commands/compliance-check.md,,SPEC_ONLY,ops
compliance-monitor,.claude/commands/compliance-monitor.md,,SPEC_ONLY,ops
compliance-soc2-prep,.claude/commands/compliance-soc2-prep.md,,SPEC_ONLY,ops
compliance-sox-cycle,.claude/commands/compliance-sox-cycle.md,,SPEC_ONLY,ops
content-blog,.claude/commands/content-blog.md,,SPEC_ONLY,misc
content-social,.claude/commands/content-social.md,,SPEC_ONLY,engineering
context-compress,.claude/commands/context-compress.md,,SPEC_ONLY,misc
context-prime,.claude/commands/context/context-prime.md,,SPEC_ONLY,product
context-priority,.claude/commands/context-priority.md,,SPEC_ONLY,misc
context-strategy,.claude/commands/context-strategy.md,,SPEC_ONLY,misc
cook,.claude/commands/cook.md,,SPEC_ONLY,engineering
cook,.claude/commands/raas/cook.md,,SPEC_ONLY,engineering
corpdev-evaluate,.claude/commands/corpdev-evaluate.md,,SPEC_ONLY,misc
corpdev-integrate,.claude/commands/corpdev-integrate.md,,SPEC_ONLY,misc
corpdev-scout,.claude/commands/corpdev-scout.md,,SPEC_ONLY,misc
corpdev-synergy,.claude/commands/corpdev-synergy.md,,SPEC_ONLY,misc
create-docs,.claude/commands/docs/create-docs.md,,SPEC_ONLY,misc
create-pr,.claude/commands/git/create-pr.md,,SPEC_ONLY,engineering
create-prd,.claude/commands/tasks/create-prd.md,,SPEC_ONLY,product
create-worktrees,.claude/commands/git/create-worktrees.md,,SPEC_ONLY,engineering
crm,.claude/commands/raas/crm.md,,SPEC_ONLY,business
cto-architect,.claude/commands/cto-architect.md,,SPEC_ONLY,misc
cto-archive,.claude/commands/cto-archive.md,,SPEC_ONLY,misc
cto-budget,.claude/commands/cto-budget.md,,SPEC_ONLY,misc
cto-dashboard,.claude/commands/cto-dashboard.md,,SPEC_ONLY,founder
cto-deploy,.claude/commands/cto-deploy.md,,SPEC_ONLY,engineering
cto-health,.claude/commands/cto-health.md,,SPEC_ONLY,ops
cto-incident,.claude/commands/cto-incident.md,,SPEC_ONLY,engineering
cto-observability,.claude/commands/cto-observability.md,,SPEC_ONLY,misc
cto-onboard,.claude/commands/cto-onboard.md,,SPEC_ONLY,founder
cto-review,.claude/commands/cto-review.md,,SPEC_ONLY,engineering
cto-roadmap,.claude/commands/cto-roadmap.md,,SPEC_ONLY,product
cto-scorecard,.claude/commands/cto-scorecard.md,,SPEC_ONLY,misc
cto-selftest,.claude/commands/cto-selftest.md,,SPEC_ONLY,engineering
cto-team,.claude/commands/cto-team.md,,SPEC_ONLY,misc
cto-workforce,.claude/commands/cto-workforce.md,,SPEC_ONLY,misc
daily,.claude/commands/daily.md,,SPEC_ONLY,misc
data-access,.claude/commands/data-access.md,,SPEC_ONLY,misc
data-catalog,.claude/commands/data-catalog.md,,SPEC_ONLY,misc
data-daily-pipeline,.claude/commands/data-daily-pipeline.md,,SPEC_ONLY,misc
data-full-refresh,.claude/commands/data-full-refresh.md,,SPEC_ONLY,misc
data-ingest,.claude/commands/data-ingest.md,,SPEC_ONLY,misc
data-metric,.claude/commands/data-metric.md,,SPEC_ONLY,misc
data-pipeline,.claude/commands/data-pipeline.md,,SPEC_ONLY,misc
data-quality,.claude/commands/data-quality.md,,SPEC_ONLY,misc
data-query,.claude/commands/data-query.md,,SPEC_ONLY,misc
data-reverse-etl,.claude/commands/data-reverse-etl.md,,SPEC_ONLY,misc
data-transform,.claude/commands/data-transform.md,,SPEC_ONLY,misc
data-warehouse,.claude/commands/data-warehouse.md,,SPEC_ONLY,misc
dealflow-close,.claude/commands/dealflow-close.md,,SPEC_ONLY,studio
dealflow-diligence,.claude/commands/dealflow-diligence.md,,SPEC_ONLY,studio
dealflow-screen,.claude/commands/dealflow-screen.md,,SPEC_ONLY,studio
dealflow-source,.claude/commands/dealflow-source.md,,SPEC_ONLY,studio
dealflow-term-sheet,.claude/commands/dealflow-term-sheet.md,,SPEC_ONLY,studio
debug,.claude/commands/raas/debug.md,,SPEC_ONLY,engineering
debugger,.claude/commands/ci/debugger.md,,SPEC_ONLY,engineering
design,.claude/commands/sdlc/design.md,,SPEC_ONLY,engineering
design-sprint,.claude/commands/design-sprint.md,,SPEC_ONLY,product
design-system,.claude/commands/design-system.md,,SPEC_ONLY,misc
design-user-research,.claude/commands/design-user-research.md,,SPEC_ONLY,misc
design-wireframe,.claude/commands/design-wireframe.md,,SPEC_ONLY,misc
dev-audit,.claude/commands/dev-audit.md,,SPEC_ONLY,ops
dev-bug-sprint,.claude/commands/dev-bug-sprint.md,,SPEC_ONLY,product
dev-debug,.claude/commands/dev-debug.md,,SPEC_ONLY,engineering
dev-deploy,.claude/commands/dev-deploy.md,,SPEC_ONLY,engineering
dev-design,.claude/commands/dev-design.md,,SPEC_ONLY,misc
dev-feature,.claude/commands/dev-feature.md,,SPEC_ONLY,misc
dev-pr-review,.claude/commands/dev-pr-review.md,,SPEC_ONLY,engineering
dev-refactor,.claude/commands/dev-refactor.md,,SPEC_ONLY,engineering
dev-review,.claude/commands/dev-review.md,,SPEC_ONLY,engineering
dev-scaffold,.claude/commands/dev-scaffold.md,,SPEC_ONLY,misc
devops-deploy-pipeline,.claude/commands/devops-deploy-pipeline.md,,SPEC_ONLY,engineering
devops-rollback,.claude/commands/devops-rollback.md,,SPEC_ONLY,ops
devrel-advocate,.claude/commands/devrel-advocate.md,,SPEC_ONLY,misc
devrel-community,.claude/commands/devrel-community.md,,SPEC_ONLY,misc
devrel-docs,.claude/commands/devrel-docs.md,,SPEC_ONLY,misc
devrel-onboard,.claude/commands/devrel-onboard.md,,SPEC_ONLY,founder
devrel-sdk,.claude/commands/devrel-sdk.md,,SPEC_ONLY,misc
eng-onboard-dev,.claude/commands/eng-onboard-dev.md,,SPEC_ONLY,founder
eng-sprint-execute,.claude/commands/eng-sprint-execute.md,,SPEC_ONLY,product
eng-tech-debt,.claude/commands/eng-tech-debt.md,,SPEC_ONLY,misc
engineering-new-service,.claude/commands/engineering-new-service.md,,SPEC_ONLY,misc
engineering-refactor,.claude/commands/engineering-refactor.md,,SPEC_ONLY,engineering
escalation-map,.claude/commands/escalation-map.md,,SPEC_ONLY,misc
esg-carbon,.claude/commands/esg-carbon.md,,SPEC_ONLY,misc
esg-dei,.claude/commands/esg-dei.md,,SPEC_ONLY,misc
esg-governance,.claude/commands/esg-governance.md,,SPEC_ONLY,misc
esg-report,.claude/commands/esg-report.md,,SPEC_ONLY,misc
expert-dispatch,.claude/commands/expert-dispatch.md,,SPEC_ONLY,studio
expert-match,.claude/commands/expert-match.md,,SPEC_ONLY,studio
expert-pool,.claude/commands/expert-pool.md,,SPEC_ONLY,studio
factory-intelligence,.claude/commands/factory-intelligence.md,,SPEC_ONLY,misc
factory-restart,.claude/commands/factory-restart.md,,SPEC_ONLY,misc
finance-budget-plan,.claude/commands/finance-budget-plan.md,,SPEC_ONLY,business
finance-budget-plan,.claude/commands/raas/finance-budget-plan.md,,SPEC_ONLY,business
finance-collections,.claude/commands/finance-collections.md,,SPEC_ONLY,business
finance-monthly-close,.claude/commands/finance-monthly-close.md,,SPEC_ONLY,business
finops-budget,.claude/commands/finops-budget.md,,SPEC_ONLY,ops
finops-cost,.claude/commands/finops-cost.md,,SPEC_ONLY,ops
finops-optimize,.claude/commands/finops-optimize.md,,SPEC_ONLY,ops
fix-issue,.claude/commands/git/fix-issue.md,,SPEC_ONLY,engineering
fix-pr,.claude/commands/git/fix-pr.md,,SPEC_ONLY,engineering
founder-ipo,.claude/commands/founder-ipo.md,,SPEC_ONLY,founder
founder-negotiate,.claude/commands/founder-negotiate.md,,SPEC_ONLY,misc
founder-okr,.claude/commands/founder-okr.md,,SPEC_ONLY,founder
founder-pitch,.claude/commands/founder-pitch.md,,SPEC_ONLY,founder
founder-raise,.claude/commands/founder-raise.md,,SPEC_ONLY,misc
founder-validate,.claude/commands/founder-validate.md,,SPEC_ONLY,misc
frontend-responsive-fix,.claude/commands/frontend-responsive-fix.md,,SPEC_ONLY,engineering
frontend-ui-build,.claude/commands/frontend-ui-build.md,,SPEC_ONLY,engineering
gateway-key,.claude/commands/gateway-key.md,,SPEC_ONLY,misc
gateway-rate-limit,.claude/commands/gateway-rate-limit.md,,SPEC_ONLY,misc
gateway-route,.claude/commands/gateway-route.md,,SPEC_ONLY,misc
gemini,.claude/commands/gemini.md,,SPEC_ONLY,misc
governance-disclosure,.claude/commands/governance-disclosure.md,,SPEC_ONLY,misc
governance-entity,.claude/commands/governance-entity.md,,SPEC_ONLY,misc
governance-policy,.claude/commands/governance-policy.md,,SPEC_ONLY,misc
growth-channel-optimize,.claude/commands/growth-channel-optimize.md,,SPEC_ONLY,misc
growth-experiment,.claude/commands/growth-experiment.md,,SPEC_ONLY,misc
growth-metrics,.claude/commands/growth-metrics.md,,SPEC_ONLY,misc
hr-onboard,.claude/commands/hr-onboard.md,,SPEC_ONLY,founder
hr-performance-cycle,.claude/commands/hr-performance-cycle.md,,SPEC_ONLY,business
hr-policy,.claude/commands/hr-policy.md,,SPEC_ONLY,business
hr-recruit,.claude/commands/hr-recruit.md,,SPEC_ONLY,business
hr-review,.claude/commands/hr-review.md,,SPEC_ONLY,business
husky,.claude/commands/git/husky.md,,SPEC_ONLY,engineering
iam-deprovision,.claude/commands/iam-deprovision.md,,SPEC_ONLY,misc
iam-pam,.claude/commands/iam-pam.md,,SPEC_ONLY,misc
iam-provision,.claude/commands/iam-provision.md,,SPEC_ONLY,misc
iam-rbac,.claude/commands/iam-rbac.md,,SPEC_ONLY,misc
iam-review,.claude/commands/iam-review.md,,SPEC_ONLY,engineering
iam-sod,.claude/commands/iam-sod.md,,SPEC_ONLY,misc
idea,.claude/commands/idea.md,,SPEC_ONLY,misc
incident-escalate,.claude/commands/incident-escalate.md,,SPEC_ONLY,engineering
incident-oncall,.claude/commands/incident-oncall.md,,SPEC_ONLY,engineering
incident-postmortem,.claude/commands/incident-postmortem.md,,SPEC_ONLY,engineering
incident-respond,.claude/commands/incident-respond.md,,SPEC_ONLY,engineering
incident-status,.claude/commands/incident-status.md,,SPEC_ONLY,engineering
infra-gateway,.claude/commands/infra-gateway.md,,SPEC_ONLY,misc
infra-network,.claude/commands/infra-network.md,,SPEC_ONLY,misc
infra-optimize,.claude/commands/infra-optimize.md,,SPEC_ONLY,misc
infra-region,.claude/commands/infra-region.md,,SPEC_ONLY,misc
infra-topology,.claude/commands/infra-topology.md,,SPEC_ONLY,misc
intel-asymmetry,.claude/commands/intel-asymmetry.md,,SPEC_ONLY,misc
intel-blind-spot,.claude/commands/intel-blind-spot.md,,SPEC_ONLY,misc
intl-compliance,.claude/commands/intl-compliance.md,,SPEC_ONLY,ops
intl-entity,.claude/commands/intl-entity.md,,SPEC_ONLY,misc
intl-localize,.claude/commands/intl-localize.md,,SPEC_ONLY,misc
intl-market-assess,.claude/commands/intl-market-assess.md,,SPEC_ONLY,misc
intl-pricing,.claude/commands/intl-pricing.md,,SPEC_ONLY,business
ipo-board-prep,.claude/commands/ipo-board-prep.md,,SPEC_ONLY,founder
ipo-readiness-check,.claude/commands/ipo-readiness-check.md,,SPEC_ONLY,founder
ir-calendar,.claude/commands/ir-calendar.md,,SPEC_ONLY,misc
ir-metrics,.claude/commands/ir-metrics.md,,SPEC_ONLY,misc
ir-narrative,.claude/commands/ir-narrative.md,,SPEC_ONLY,misc
ir-roadshow,.claude/commands/ir-roadshow.md,,SPEC_ONLY,misc
it-endpoint,.claude/commands/it-endpoint.md,,SPEC_ONLY,misc
it-inventory,.claude/commands/it-inventory.md,,SPEC_ONLY,misc
it-service,.claude/commands/it-service.md,,SPEC_ONLY,misc
junior-first-task,.claude/commands/junior-first-task.md,,SPEC_ONLY,misc
junior-learn,.claude/commands/junior-learn.md,,SPEC_ONLY,misc
kb-adr,.claude/commands/kb-adr.md,,SPEC_ONLY,misc
kb-decision,.claude/commands/kb-decision.md,,SPEC_ONLY,engineering
kb-wiki,.claude/commands/kb-wiki.md,,SPEC_ONLY,misc
legal,.claude/commands/legal/legal.md,,SPEC_ONLY,ops
legal-compliance-check,.claude/commands/legal-compliance-check.md,,SPEC_ONLY,ops
legal-contract-review,.claude/commands/legal-contract-review.md,,SPEC_ONLY,engineering
legal-policy,.claude/commands/legal-policy.md,,SPEC_ONLY,ops
marketing-brand,.claude/commands/marketing-brand.md,,SPEC_ONLY,business
marketing-campaign,.claude/commands/marketing-campaign.md,,SPEC_ONLY,business
marketing-campaign-run,.claude/commands/marketing-campaign-run.md,,SPEC_ONLY,business
marketing-campaign-run,.claude/commands/raas/marketing-campaign-run.md,,SPEC_ONLY,business
marketing-content-engine,.claude/commands/marketing-content-engine.md,,SPEC_ONLY,business
marketing-performance-report,.claude/commands/marketing-performance-report.md,,SPEC_ONLY,business
marketing-seo,.claude/commands/marketing-seo.md,,SPEC_ONLY,business
match-founder-idea,.claude/commands/match-founder-idea.md,,SPEC_ONLY,misc
match-vc-startup,.claude/commands/match-vc-startup.md,,SPEC_ONLY,founder
mermaid,.claude/commands/utils/mermaid.md,,SPEC_ONLY,misc
ml-cost,.claude/commands/ml-cost.md,,SPEC_ONLY,misc
ml-deploy,.claude/commands/ml-deploy.md,,SPEC_ONLY,engineering
ml-eval,.claude/commands/ml-eval.md,,SPEC_ONLY,misc
ml-experiment,.claude/commands/ml-experiment.md,,SPEC_ONLY,misc
ml-feature-backfill,.claude/commands/ml-feature-backfill.md,,SPEC_ONLY,misc
ml-feature-register,.claude/commands/ml-feature-register.md,,SPEC_ONLY,misc
ml-feature-serve,.claude/commands/ml-feature-serve.md,,SPEC_ONLY,misc
ml-governance,.claude/commands/ml-governance.md,,SPEC_ONLY,misc
ml-guardrail,.claude/commands/ml-guardrail.md,,SPEC_ONLY,misc
ml-monitor,.claude/commands/ml-monitor.md,,SPEC_ONLY,ops
ml-retrain,.claude/commands/ml-retrain.md,,SPEC_ONLY,misc
model-matrix,.claude/commands/model-matrix.md,,SPEC_ONLY,misc
momentum-compound,.claude/commands/momentum-compound.md,,SPEC_ONLY,misc
momentum-network,.claude/commands/momentum-network.md,,SPEC_ONLY,misc
momentum-resource,.claude/commands/momentum-resource.md,,SPEC_ONLY,misc
momentum-velocity,.claude/commands/momentum-velocity.md,,SPEC_ONLY,engineering
momentum-viral-loop,.claude/commands/momentum-viral-loop.md,,SPEC_ONLY,misc
obs-alert,.claude/commands/obs-alert.md,,SPEC_ONLY,misc
obs-dashboard,.claude/commands/obs-dashboard.md,,SPEC_ONLY,founder
obs-logs,.claude/commands/obs-logs.md,,SPEC_ONLY,misc
obs-metrics,.claude/commands/obs-metrics.md,,SPEC_ONLY,misc
obs-trace,.claude/commands/obs-trace.md,,SPEC_ONLY,misc
ops-disaster-recovery,.claude/commands/ops-disaster-recovery.md,,SPEC_ONLY,ops
ops-health,.claude/commands/ops-health.md,,SPEC_ONLY,ops
ops-health-sweep,.claude/commands/ops-health-sweep.md,,SPEC_ONLY,ops
ops-health-sweep,.claude/commands/raas/ops-health-sweep.md,,SPEC_ONLY,ops
ops-security-audit,.claude/commands/ops-security-audit.md,,SPEC_ONLY,ops
ops-status,.claude/commands/ops-status.md,,SPEC_ONLY,ops
ops-sync-all,.claude/commands/ops-sync-all.md,,SPEC_ONLY,ops
optimize,.claude/commands/code/optimize.md,,SPEC_ONLY,engineering
opus-tomhum-orchestrator,.claude/commands/opus-tomhum-orchestrator.md,,SPEC_ONLY,misc
outreach,.claude/commands/raas/outreach.md,,SPEC_ONLY,business
payout,.claude/commands/finance/payout.md,,SPEC_ONLY,business
people-offboard,.claude/commands/people-offboard.md,,SPEC_ONLY,founder
people-onboard,.claude/commands/people-onboard.md,,SPEC_ONLY,founder
pipeline,.claude/commands/raas/pipeline.md,,SPEC_ONLY,ops
plan,.claude/commands/plan.md,,SPEC_ONLY,product
plan,.claude/commands/raas/plan.md,,SPEC_ONLY,product
platform-environment-setup,.claude/commands/platform-environment-setup.md,,SPEC_ONLY,misc
platform-monitoring-setup,.claude/commands/platform-monitoring-setup.md,,SPEC_ONLY,ops
pm-ab-test,.claude/commands/pm-ab-test.md,,SPEC_ONLY,engineering
pm-analytics,.claude/commands/pm-analytics.md,,SPEC_ONLY,misc
pm-backlog,.claude/commands/pm-backlog.md,,SPEC_ONLY,product
pm-competitor,.claude/commands/pm-competitor.md,,SPEC_ONLY,misc
pm-delegate,.claude/commands/pm-delegate.md,,SPEC_ONLY,misc
pm-feature-flag,.claude/commands/pm-feature-flag.md,,SPEC_ONLY,misc
pm-feedback,.claude/commands/pm-feedback.md,,SPEC_ONLY,misc
pm-milestone,.claude/commands/pm-milestone.md,,SPEC_ONLY,misc
pm-okr,.claude/commands/pm-okr.md,,SPEC_ONLY,founder
pm-plan,.claude/commands/pm-plan.md,,SPEC_ONLY,product
pm-release-note,.claude/commands/pm-release-note.md,,SPEC_ONLY,misc
pm-retro,.claude/commands/pm-retro.md,,SPEC_ONLY,misc
pm-roadmap,.claude/commands/pm-roadmap.md,,SPEC_ONLY,product
pm-scope,.claude/commands/pm-scope.md,,SPEC_ONLY,product
pm-sprint,.claude/commands/pm-sprint.md,,SPEC_ONLY,product
pm-standup,.claude/commands/pm-standup.md,,SPEC_ONLY,misc
portfolio-create,.claude/commands/portfolio-create.md,,SPEC_ONLY,misc
portfolio-report,.claude/commands/portfolio-report.md,,SPEC_ONLY,misc
portfolio-status,.claude/commands/portfolio-status.md,,SPEC_ONLY,ops
prime,.claude/commands/context/prime.md,,SPEC_ONLY,product
product-competitive-intel,.claude/commands/product-competitive-intel.md,,SPEC_ONLY,product
product-discovery,.claude/commands/product-discovery.md,,SPEC_ONLY,product
product-launch-feature,.claude/commands/product-launch-feature.md,,SPEC_ONLY,product
product-retrospective,.claude/commands/product-retrospective.md,,SPEC_ONLY,product
product-sprint-plan,.claude/commands/product-sprint-plan.md,,SPEC_ONLY,product
production-status,.claude/commands/production-status.md,,SPEC_ONLY,product
project-matrix,.claude/commands/project-matrix.md,,SPEC_ONLY,misc
qa-accessibility,.claude/commands/qa-accessibility.md,,SPEC_ONLY,misc
qa-chaos,.claude/commands/qa-chaos.md,,SPEC_ONLY,misc
qa-e2e,.claude/commands/qa-e2e.md,,SPEC_ONLY,misc
qa-perf,.claude/commands/qa-perf.md,,SPEC_ONLY,misc
qa-plan,.claude/commands/qa-plan.md,,SPEC_ONLY,product
qa-regression,.claude/commands/qa-regression.md,,SPEC_ONLY,misc
quick-start,.claude/commands/quick-start.md,,SPEC_ONLY,misc
raas-create,.claude/commands/raas-create.md,,SPEC_ONLY,ops
raas-scaffold,.claude/commands/raas-scaffold.md,,SPEC_ONLY,ops
rebase,.claude/commands/git/rebase.md,,SPEC_ONLY,engineering
recruiter-screen,.claude/commands/recruiter-screen.md,,SPEC_ONLY,misc
recruiter-source,.claude/commands/recruiter-source.md,,SPEC_ONLY,misc
refactor,.claude/commands/utils/refactor.md,,SPEC_ONLY,engineering
release-hotfix,.claude/commands/release-hotfix.md,,SPEC_ONLY,engineering
release-ship,.claude/commands/release-ship.md,,SPEC_ONLY,misc
releng-post-release,.claude/commands/releng-post-release.md,,SPEC_ONLY,misc
releng-pre-release,.claude/commands/releng-pre-release.md,,SPEC_ONLY,misc
repro-issue,.claude/commands/code/repro-issue.md,,SPEC_ONLY,engineering
retro,.claude/commands/raas/retro.md,,SPEC_ONLY,ops
review,.claude/commands/review.md,,SPEC_ONLY,engineering
review,.claude/commands/raas/review.md,,SPEC_ONLY,engineering
review-factory,.claude/commands/review-factory.md,,SPEC_ONLY,engineering
revops-attribution,.claude/commands/revops-attribution.md,,SPEC_ONLY,ops
revops-comp,.claude/commands/revops-comp.md,,SPEC_ONLY,ops
revops-forecast,.claude/commands/revops-forecast.md,,SPEC_ONLY,ops
revops-handoff,.claude/commands/revops-handoff.md,,SPEC_ONLY,ops
revops-health,.claude/commands/revops-health.md,,SPEC_ONLY,ops
revops-pipeline,.claude/commands/revops-pipeline.md,,SPEC_ONLY,ops
revops-territory,.claude/commands/revops-territory.md,,SPEC_ONLY,ops
risk-assess,.claude/commands/risk-assess.md,,SPEC_ONLY,misc
risk-fraud-detect,.claude/commands/risk-fraud-detect.md,,SPEC_ONLY,misc
risk-monitor,.claude/commands/risk-monitor.md,,SPEC_ONLY,ops
risk-report,.claude/commands/risk-report.md,,SPEC_ONLY,misc
roadmap,.claude/commands/raas/roadmap.md,,SPEC_ONLY,product
run-ci,.claude/commands/ci/run-ci.md,,SPEC_ONLY,engineering
sales-deal-close,.claude/commands/sales-deal-close.md,,SPEC_ONLY,business
